,code_circo,estimation,participation,candidat_1,candidat_1_parti,candidat_1_score,candidat_2,candidat_2_parti,candidat_2_score,candidat_3,candidat_3_parti,candidat_3_score,second_tour,NFP_vs_RN,diff_vote,swing_circo
439,080-01,False,64.99,Nathalie RIBEIRO BILLET / EXD / Rassemblement national,EXD,40.69,François RUFFIN / NFP / Picardie Debout,NFP,33.92,Albane BRANLANT / ENS / Renaissance,ENS,22.68,True,True,6.769999999999996,
440,080-02,False,67.96,Zahia HAMDANE / NFP / La France insoumise,NFP,29.54,Damien TOUMI / EXD / Rassemblement national,EXD,27.46,Hubert DE JENLIS / ENS / Renaissance,ENS,25.23,True,True,2.0799999999999983,<5
441,080-03,False,70.05,Matthias RENAULT / EXD / Rassemblement national,EXD,48.9,Emmanuel MAQUET / LR / Du courage !,LR,27.7,,,,True,False,21.2,
442,080-04,False,69.56,Jean-Philippe TANGUY / EXD / Rassemblement national,EXD,49.62,Anthony GEST / ENS / Renaissance,ENS,18.47,,,,True,False,31.15,
443,080-05,False,66.43,Yaël MENACHE / EXD / Rassemblement national,EXD,55.98,,,,,,,False,False,,
444,081-01,False,71.21,Frédéric CABROLIER / EXD / Rassemblement national,EXD,39.53,Philippe BONNECARRERE / ENS / Alliance centriste,ENS,29.52,Margot LAPEYRE / NFP / Parti socialiste,NFP,28.37,True,False,10.010000000000002,
445,081-02,False,71.7,Julien BACOU / EXD / Rassemblement national,EXD,37.94,Karen ERODI / NFP / La France insoumise,NFP,31.63,Pierre VERDIER / ENS / Renaissance,ENS,21.7,True,True,6.309999999999999,
446,081-03,False,72.27,Guilhem CARAYON / EXD / À droite ! Les amis d’Éric Ciotti,EXD,43.51,Jean TERLIER / ENS / Renaissance,ENS,28.6,Julien LASSALLE / NFP / La France insoumise,NFP,25.39,True,False,14.909999999999997,
447,082-01,False,70.77,Brigitte BAREGES / EXD / À droite ! Les amis d’Éric Ciotti,EXD,43.93,Valérie RABAULT / NFP / Parti socialiste,NFP,36.81,,,,True,True,7.119999999999997,
448,082-02,False,70.59,Marine HAMELET / EXD / Rassemblement national,EXD,49.17,Claudie CHRETIEN / NFP / La France insoumise,NFP,18.54,,,,True,True,30.630000000000003,
449,083-01,False,65.61,Sébastien SOULÉ / EXD / Rassemblement national,EXD,42.28,Yannick CHENEVARD / ENS / Renaissance,ENS,31.37,Eric HABOUZIT / NFP / La France insoumise,NFP,22.38,True,False,10.91,
450,083-02,False,66.37,Laure LAVALETTE / EXD / Rassemblement national,EXD,50.81,,,,,,,False,False,,
451,083-03,False,68.75,Stéphane RAMBAUD / EXD / Rassemblement national,EXD,46.51,Isabelle MONFORT / ENS / Horizons,ENS,20.21,,,,True,False,26.299999999999997,
452,083-04,False,65.28,Philippe LOTTIAUX / EXD / Rassemblement national,EXD,56.11,,,,,,,False,False,,
453,083-05,False,66.74,Julie LECHANTEUX / EXD / Rassemblement national,EXD,51.51,,,,,,,False,False,,
454,083-06,False,68.27,Frank GILETTI / EXD / Rassemblement national,EXD,53.51,,,,,,,False,False,,
455,083-07,False,66.58,Frédéric BOCCALETTI / EXD / Rassemblement national,EXD,48.3,Cécile MUSCHOTTI / ENS / Renaissance,ENS,18.53,,,,True,False,29.769999999999996,
456,083-08,False,67.14,Philippe SCHRECK / EXD / Rassemblement national,EXD,53.55,,,,,,,False,False,,
457,084-01,False,62.34,Catherine JAOUEN / EXD / Rassemblement national,EXD,34.62,Raphaël ARNAULT / NFP / La France insoumise,NFP,24.76,,,,True,True,9.859999999999996,
458,084-02,False,68.91,Bénédicte AUZANOT / EXD / Rassemblement national,EXD,45.95,Patrick BLANES / NFP / Parti socialiste,NFP,24.85,Sylvie VIALA / ENS / Modem,ENS,19.4,True,True,21.1,
459,084-03,False,68.4,Hervé DE LÉPINAU / EXD / Rassemblement national,EXD,53.51,,,,,,,False,False,,
460,084-04,False,68.88,Marie-France LORHO / EXD / Rassemblement national,EXD,49.89,Monia GALVEZ / NFP / La France insoumise,NFP,19.64,,,,True,True,30.25,
461,084-05,False,68.62,Catherine RIMBERT / EXD / Rassemblement national,EXD,45.03,Céline CELCE / NFP / Génération.s,NFP,27.16,Adrien MORENAS / ENS / Renaissance,ENS,20.29,True,True,17.87,
462,085-01,False,69.57,Simon-Pierre PAULIN / EXD / À droite ! Les amis d’Éric Ciotti,EXD,32.17,Philippe LATOMBE / ENS / Modem,ENS,28.51,Lucie ETONNO / NFP / Les Écologistes,NFP,23.33,True,False,3.66,<5
463,085-02,False,70.66,Béatrice BELLAMY / ENS / Horizons,ENS,38.74,Marie-Christine EBRAN / EXD / Rassemblement national,EXD,36.53,Nicolas HELARY / NFP / La France insoumise,NFP,23.34,True,False,2.210000000000001,<5
464,085-03,False,70.93,Pascal DUBIN / EXD / À droite ! Les amis d’Éric Ciotti,EXD,35.59,Stéphane BUCHOU / ENS / Renaissance,ENS,34.89,,,,True,False,0.7000000000000028,<1
465,085-04,False,70.12,Véronique BESSE / Divers droite,,39.31,Jacques PROUX / EXD / Rassemblement national,EXD,22.88,,,,True,False,16.430000000000003,
466,085-05,False,69.02,Stéphane BUFFETAUT / EXD / Rassemblement national,EXD,37.87,Pierre HENRIET / ENS / Horizons,ENS,34.84,Pierre-Hugues FOURAGE / NFP / Parti socialiste,NFP,20.12,True,False,3.029999999999994,<5
467,086-01,False,69.89,Lisa BELLUCO / NFP / Les Écologistes,NFP,33.14,Emmanuelle DARLES / EXD / Rassemblement national,EXD,28.93,Séverine SAINT-PÉ / ENS / Horizons,ENS,28.85,True,True,4.210000000000001,<5
468,086-02,False,72.54,Sacha HOULIÉ / ENS / Renaissance,ENS,33.21,Valérie SOUMAILLE / NFP / La France insoumise,NFP,28.63,Estelle CHEVALLIER / EXD / Rassemblement national,EXD,24.42,True,False,4.580000000000002,<5
469,086-03,False,69.96,Eric SOULAT / EXD / Rassemblement national,EXD,40.82,Pascal LECAMP / ENS / Modem,ENS,30.18,Gisèle JEAN / NFP / Parti socialiste,NFP,26.73,True,False,10.64,
470,086-04,False,65.87,Hager JACQUEMIN / EXD / Rassemblement national,EXD,41.04,Nicolas TURQUOIS / ENS / Modem,ENS,32.11,Yves TROUSSELLE / NFP / Place publique,NFP,21.09,True,False,8.93,
471,087-01,False,71.41,Damien MAUDET / NFP / La France insoumise,NFP,36.94,Camille DOS SANTOS DE OLIVEIRA / EXD / Rassemblement national,EXD,32.83,Isabelle NEGRIER / ENS / Renaissance,ENS,26.99,True,True,4.109999999999999,<5
472,087-02,False,73.89,Sabrina MINGUET / EXD / Rassemblement national,EXD,36.86,Stéphane DELAUTRETTE / NFP / Parti socialiste,NFP,36.83,Marie-Eve TAYOT / ENS / Modem,ENS,24.45,True,True,0.030000000000001137,<0.5
473,087-03,False,71.36,Manon MEUNIER / NFP / La France insoumise,NFP,35.18,Albin FREYCHET / EXD / Rassemblement national,EXD,34.85,Gilles TOULZA / LR / Les Républicains,LR,26.65,True,True,0.3299999999999983,<0.5
474,088-01,False,66.79,Stéphane VIRY / LR / Du courage !,LR,42.85,Pierre FRANÇOIS / EXD / Rassemblement national,EXD,38.17,,,,True,False,4.68,<5
475,088-02,False,67.63,Gaëtan DUSSAUSAYE / EXD / Rassemblement national,EXD,48.16,David VALENCE / ENS / Parti radical,ENS,30.84,,,,True,False,17.319999999999997,
476,088-03,False,68.73,"Christophe NAEGELEN / Union de la droite, du centre et des indépendants",,48.33,Pauline FRESSE / EXD / Rassemblement national,EXD,33.43,,,,True,False,14.899999999999999,
477,088-04,False,69.0,Sébastien HUMBERT / EXD / Rassemblement national,EXD,48.02,Jean-Jacques GAULTIER / LR / Les Républicains,LR,31.91,,,,True,False,16.110000000000003,
478,089-01,False,69.35,Daniel GRENON / EXD / Rassemblement national,EXD,40.4,Florence LOURY / NFP / Les Écologistes,NFP,25.34,,,,True,True,15.059999999999999,
479,089-02,False,67.59,Sophie-Laurence ROY / EXD / À droite ! Les amis d’Éric Ciotti,EXD,44.51,André VILLIERS / ENS / Horizons,ENS,29.33,Philippe VEYSSIERE / NFP / La France insoumise,NFP,19.5,True,False,15.18,
480,089-03,False,65.21,Julien ODOUL / EXD / Rassemblement national,EXD,50.44,,,,,,,False,False,,
481,090-01,False,68.91,Carine MANCK / EXD / Rassemblement national,EXD,39.73,Ian BOUCARD / LR / Les Républicains,LR,23.99,Marie-Eve BELORGEY / NFP / Parti socialiste,NFP,22.59,True,False,15.739999999999998,
482,090-02,False,69.37,Guillaume BIGOT / EXD / Rassemblement national,EXD,37.86,Florian CHAUCHE / NFP / La France insoumise,NFP,28.02,,,,True,True,9.84,
483,091-01,False,60.93,Farida AMRANI / NFP / La France insoumise,NFP,46.07,Stéphane BEAUDET / Divers,,27.74,Thiebauld VEGA / EXD / Rassemblement national,EXD,22.34,True,False,18.330000000000002,
484,091-02,False,67.62,Nathalie DA CONCEICAO CARVALHO / EXD / Rassemblement national,EXD,40.3,Mathieu HILLAIRE / NFP / La France insoumise,NFP,26.54,Naïma SIFER / ENS / Horizons,ENS,22.09,True,True,13.759999999999998,
485,091-03,False,69.88,Stefan MILOSEVIC / EXD / Rassemblement national,EXD,33.01,Steevy GUSTAVE / NFP / Les Écologistes,NFP,30.91,Alexis IZARD / ENS / Renaissance,ENS,29.9,True,True,2.099999999999998,<5
486,091-04,False,70.57,Marie-Pierre RIXAIN / ENS / Renaissance,ENS,33.91,Jérôme CARBRIAND / EXD / À droite ! Les amis d’Éric Ciotti,EXD,31.03,Amadou DEME / NFP / Parti communiste français,NFP,30.83,True,False,2.8799999999999955,<5
487,091-05,False,74.39,Pierre LARROUTUROU / NFP / Les Écologistes,NFP,37.93,Paul MIDY / ENS / Renaissance,ENS,32.48,,,,True,False,5.450000000000003,
488,091-06,False,68.44,Jérôme GUEDJ / NFP / Parti socialiste,NFP,34.44,Hella KRIBI - ROMDHANE / Les Écologistes,,25.23,Natacha GOUPY / EXD / Rassemblement national,EXD,20.81,True,False,9.209999999999997,
489,091-07,False,64.24,Claire LEJEUNE / NFP / La France insoumise,NFP,40.83,Robin REDA / ENS / Renaissance,ENS,30.07,Audrey GUIBERT / EXD / Rassemblement national,EXD,25.07,True,False,10.759999999999998,
490,091-08,False,66.03,Bérenger CERNON / NFP / La France insoumise,NFP,34.37,Nicolas DUPONT-AIGNAN / EXD / Debout la France,EXD,32.96,François DUROVRAY / LR / Du courage !,LR,27.38,True,True,1.4099999999999966,<2
491,091-09,False,66.02,Julie OZENNE / NFP / Les Écologistes,NFP,37.6,Paul-Henri MERRIEN / EXD / Rassemblement national,EXD,30.12,Marie GUÉVENOUX / ENS / Renaissance,ENS,27.11,True,True,7.48,
492,091-10,False,61.61,Antoine LÉAUMENT / NFP / La France insoumise,NFP,43.01,Michael AMAND / EXD / Rassemblement national,EXD,25.91,,,,True,True,17.099999999999998,
493,092-01,False,61.23,Elsa FAUCILLON / NFP / Parti communiste français,NFP,64.83,,,,,,,False,False,,
494,092-02,False,74.33,Thomas LAM / LR / Les Républicains,LR,41.59,Francesca PASQUINI / NFP / Génération.s,NFP,39.53,,,,True,False,2.0600000000000023,<5
495,092-03,False,73.07,Philippe JUVIN / LR / Les Républicains,LR,52.09,,,,,,,False,False,,
496,092-04,False,67.69,Sabrina SEBAIHI / NFP / Mouvement écologiste indépendant,NFP,49.13,Isabelle DE CRECY / ENS / Horizons,ENS,29.62,,,,True,False,19.51,
497,092-05,False,71.27,Raphaël PITTI / NFP / Place publique,NFP,36.54,Céline CALVEZ / ENS / Renaissance,ENS,31.62,,,,True,False,4.919999999999998,<5
498,092-06,False,74.85,Constance LE GRIP / ENS / Alliance centriste,ENS,40.14,Geoffroy DIDIER / LR / Les Républicains,LR,19.9,Sihame MUSCIANISI / NFP / La France insoumise,NFP,19.26,True,False,20.240000000000002,
499,092-07,False,74.16,Pierre CAZENEUVE / ENS / Renaissance,ENS,53.2,,,,,,,False,False,,
500,092-08,False,75.65,Prisca THEVENOT / ENS / Renaissance,ENS,39.91,Salomé NICOLAS-CHAVANCE / NFP / Parti socialiste,NFP,30.3,,,,True,False,9.609999999999996,
501,092-09,False,75.11,Stéphane SÉJOURNÉ / ENS / Renaissance,ENS,46.07,Pauline RAPILLY-FERNIOT / NFP / Les Écologistes,NFP,21.39,,,,True,False,24.68,
502,092-10,False,74.35,Gabriel ATTAL / ENS / Renaissance,ENS,43.85,Cécile SOUBELET / NFP / Parti socialiste,NFP,35.53,,,,True,False,8.32,
503,092-11,False,71.01,Aurélien SAINTOUL / NFP / La France insoumise,NFP,50.14,,,,,,,False,False,,
504,092-12,False,73.68,Jean-Didier BERGER / LR / Les Républicains,LR,39.43,Lounes ADJROUD / NFP / Parti socialiste,NFP,38.32,,,,True,False,1.1099999999999994,<2
505,092-13,False,74.98,Maud BREGEON / ENS / Renaissance,ENS,39.18,Brice GAILLARD / NFP / Parti socialiste,NFP,37.77,,,,True,False,1.4099999999999966,<2
506,093-01,False,60.92,Éric COQUEREL / NFP / La France insoumise,NFP,65.28,,,,,,,False,False,,
507,093-02,False,55.25,Stéphane PEU / NFP / Parti communiste français,NFP,71.8,,,,,,,False,False,,
508,093-03,False,65.45,Thomas PORTES / NFP / La France insoumise,NFP,41.68,Denis CRETIN-GIELLY / EXD / Rassemblement national,EXD,21.28,,,,True,True,20.4,
509,093-04,False,54.13,Soumya BOUROUAHA / NFP / Parti communiste français,NFP,44.52,Mohamed AWAD / La France insoumise,,23.9,,,,True,False,20.620000000000005,
510,093-05,False,57.11,Aly DIOUARA / NFP / La France insoumise,NFP,33.1,"Aude LAGARDE / Union de la droite, du centre et des indépendants",,24.56,Raquel GARRIDO / Parti communiste français,,23.65,True,False,8.540000000000003,
511,093-06,False,60.4,Bastien LACHAUD / NFP / La France insoumise,NFP,71.68,,,,,,,False,False,,
512,093-07,False,66.31,Alexis CORBIÈRE / Parti communiste français,,40.19,Sabrina ALI-BENALI / NFP / La France insoumise,NFP,36.39,,,,True,False,3.799999999999997,<5
513,093-08,False,63.95,Fatiha KELOUA HACHI / NFP / Parti socialiste,NFP,49.3,Sébastien JOLIVET / EXD / Rassemblement national,EXD,23.86,,,,True,True,25.439999999999998,
514,093-09,False,63.48,Aurélie TROUVÉ / NFP / La France insoumise,NFP,63.19,,,,,,,False,False,,
515,093-10,False,60.86,Nadège ABOMANGOLI / NFP / La France insoumise,NFP,52.6,,,,,,,False,False,,
516,093-11,False,56.22,Clémentine AUTAIN / NFP / Parti communiste français,NFP,62.65,,,,,,,False,False,,
517,093-12,False,60.03,Jérôme LEGAVRE / NFP / La France insoumise,NFP,45.11,Jean-François PERIER / EXD / Rassemblement national,EXD,26.04,,,,True,True,19.07,
518,094-01,False,71.46,Lyes LOUFFOK / NFP / La France insoumise,NFP,33.03,Sylvain BERRIOS / LR / Les Républicains,LR,27.97,,,,True,False,5.060000000000002,
519,094-02,False,64.05,Clémence GUETTÉ / NFP / La France insoumise,NFP,55.0,,,,,,,False,False,,
520,094-03,False,63.7,Louis BOYARD / NFP / La France insoumise,NFP,42.17,Arnaud BARBOTIN / EXD / À droite ! Les amis d’Éric Ciotti,EXD,27.31,Loïc SIGNOR / ENS / Renaissance,ENS,23.77,True,True,14.860000000000003,
521,094-04,False,68.39,Adel AMARA / NFP / La France insoumise,NFP,33.02,Maud PETIT / ENS / Modem,ENS,30.58,Alain PHILIPPET / EXD / Rassemblement national,EXD,26.95,True,False,2.440000000000005,<5
522,094-05,False,67.82,Mathieu LEFEVRE / ENS / Renaissance,ENS,38.52,Julien LEGER / NFP / Parti communiste français,NFP,37.27,Isabelle HUGUENIN-RICHARD / EXD / Rassemblement national,EXD,20.4,True,False,1.25,<2
523,094-06,False,73.99,May BOUHADA / NFP / Les Écologistes,NFP,40.63,Guillaume GOUFFIER VALENTE / ENS / Renaissance,ENS,37.38,,,,True,False,3.25,<5
524,094-07,False,65.76,Rachel KEKE / NFP / La France insoumise,NFP,43.65,Vincent JEANBRUN / LR / Libres !,LR,34.64,,,,True,False,9.009999999999998,
525,094-08,False,73.7,Michel HERBILLON / LR / Les Républicains,LR,44.13,Joao MARTINS PEREIRA / NFP / Parti socialiste,NFP,36.88,,,,True,False,7.25,
526,094-09,False,63.19,Isabelle SANTIAGO / NFP / Parti socialiste,NFP,58.09,,,,,,,False,False,,
527,094-10,False,66.23,Mathilde PANOT / NFP / La France insoumise,NFP,59.27,,,,,,,False,False,,
528,094-11,False,65.74,Sophie TAILLÉ-POLIAN / NFP / Génération.s,NFP,57.36,,,,,,,False,False,,
529,095-01,False,68.41,Anne SICARD / EXD / Rassemblement national,EXD,33.65,Maximillien JULES-ARTHUR / NFP / La France insoumise,NFP,30.8,Émilie CHANDLER / ENS / Renaissance,ENS,25.46,True,True,2.849999999999998,<5
530,095-02,False,66.88,Ayda HADIZADEH / NFP / Parti socialiste,NFP,33.47,Nadejda REMY / EXD / Rassemblement national,EXD,30.21,Guillaume VUILLETET / ENS / Renaissance,ENS,25.35,True,True,3.259999999999998,<5
531,095-03,False,67.63,Emmanuel MAUREL / NFP / Parti communiste français,NFP,35.63,Kimberley LELAIDIER / EXD / Rassemblement national,EXD,27.59,Cécile RILHAC / ENS / Renaissance,ENS,23.52,True,True,8.040000000000003,
532,095-04,False,67.51,Karine LACOUTURE / NFP / La France insoumise,NFP,34.65,Naïma MOUTCHOU / ENS / Horizons,ENS,27.89,Sébastien MEURANT / EXD / À droite ! Les amis d’Éric Ciotti,EXD,26.22,True,False,6.759999999999998,
533,095-05,False,60.1,Paul VANNIER / NFP / La France insoumise,NFP,56.01,,,,,,,False,False,,
534,095-06,False,66.43,Gabrielle CATHALA / NFP / La France insoumise,NFP,37.63,Estelle FOLEST / ENS / Modem,ENS,25.78,Annika BRUNA / EXD / Rassemblement national,EXD,22.07,True,False,11.850000000000001,
535,095-07,False,66.06,Romain ESKENAZI / NFP / Parti socialiste,NFP,37.94,David QUENTIN / EXD / Rassemblement national,EXD,27.25,Dominique DA SILVA / ENS / Renaissance,ENS,23.13,True,True,10.689999999999998,
536,095-08,False,55.94,Carlos Martens BILONGO / NFP / La France insoumise,NFP,58.27,,,,,,,False,False,,
537,095-09,False,60.28,Arnaud LE GALL / NFP / La France insoumise,NFP,40.73,Agnès MARION / EXD / Rassemblement national,EXD,30.56,,,,True,True,10.169999999999998,
538,095-10,False,65.27,Aurélien TACHÉ / NFP / La France insoumise,NFP,43.13,Lisbeth MACÉ / EXD / Rassemblement national,EXD,22.78,,,,True,True,20.35,
539,971-01,False,32.55,Olivier SERVA / Guadeloupe unie solidaire et responsable,,51.4,Chantal LERUS / Divers gauche,,12.65,,,,True,False,38.75,
540,971-02,False,31.78,Christian BAPTISTE / Parti progressite démocratique guadeloupéen,,41.33,Laurent PETIT / EXD / Rassemblement national,EXD,17.3,,,,True,False,24.029999999999998,
541,971-03,False,36.07,Max MATHIASIN / Divers gauche,,36.21,Rody TOLASSY / EXD / Rassemblement national,EXD,25.9,,,,True,False,10.310000000000002,
542,971-04,False,33.81,Elie CALIFER / Parti socialiste,,57.9,Jennifer LINON / Guadeloupe unie solidaire et responsable,,21.86,,,,True,False,36.04,
543,972-01,False,30.54,Jiovanny WILLIAM / Peyi-a,,56.56,Philippe EDMOND-MARIETTE / Régionaliste,,13.42,,,,True,False,43.14,
544,972-02,False,33.0,Marcellin NADEAU / Peyi-a,,48.31,Yan MONPLAISIR / Divers droite,,27.06,,,,True,False,21.250000000000004,
545,972-03,False,31.16,Johnny HAJJAR / Divers gauche,,37.28,Beatrice BELLAY / Parti socialiste,,25.26,,,,True,False,12.02,
546,972-04,False,30.15,Jean-Philippe NILOR / Peyi-a,,63.18,Grégory Michel ROY-LARENTRY / EXD / Rassemblement national,EXD,9.88,,,,True,False,53.3,
547,973-01,False,35.61,Jean-Victor CASTOR / Mouvement de décolonisation et d’émancipation sociale,,62.78,Boris CHONG SIT / Divers droite,,16.1,,,,True,False,46.68,
548,973-02,False,28.92,Davy RIMANE / Parti communiste français,,60.21,Sophie CHARLES / Divers centre,,25.49,,,,True,False,34.72,
549,974-01,False,49.04,Philippe NAILLET / NFP / Parti socialiste,NFP,46.25,Jean Jacques MOREL / EXD / Rassemblement national,EXD,27.6,,,,True,True,18.65,
550,974-02,False,42.13,Karine LEBON / NFP / Pour La Réunion,NFP,47.72,Christelle BEGUE / EXD / Rassemblement national,EXD,21.31,,,,True,True,26.41,
551,974-03,False,45.89,Joseph RIVIERE / EXD / Rassemblement national,EXD,31.56,Alexis CHAUSSALET / Divers gauche,,23.8,,,,True,False,7.759999999999998,
552,974-04,False,51.11,Emeline KBIDI / Divers gauche,,42.28,Jonathan RIVIERE / EXD / Rassemblement national,EXD,27.57,,,,True,False,14.71,
553,974-05,False,40.7,Jean-Hugues RATENON / Divers gauche,,33.18,Joan DORO / EXD / Rassemblement national,EXD,30.07,,,,True,False,3.1099999999999994,<5
554,974-06,False,44.98,Frédéric MAILLOT / Pour La Réunion,,29.76,Valérie LEGROS / EXD / Rassemblement national,EXD,26.93,,,,True,False,2.830000000000002,<5
555,974-07,False,44.46,Perceval GAILLARD / NFP / La France insoumise,NFP,29.55,Jean-Luc POUDROUX / EXD / Rassemblement national,EXD,25.57,,,,True,True,3.9800000000000004,<5
556,975-01,False,55.38,Stéphane LENORMAND / Archipel demain,,43.09,Frédéric BEAUMONT / Parti socialiste,,16.89,,,,True,False,26.200000000000003,
557,976-01,False,39.69,"Estelle YOUSSOUFFA / Union de la droite, du centre et des indépendants",,79.48,,,,,,,False,False,,
558,976-02,False,46.0,Anchya BAMANA / EXD / Rassemblement national,EXD,35.42,Mansour KAMARDINE / LR / Les Républicains,LR,27.8,,,,True,False,7.620000000000001,
559,986-01,False,77.11,Mikaele SEO / ENS / Renaissance,ENS,62.25,,,,,,,False,False,,
560,987-01,False,47.1,Moerani FREBAULT / Tapura Huiraatira,,53.85,,,,,,,False,False,,
561,987-02,False,38.75,Nicole SANQUER / A here ia Porinetia,,49.09,Steve CHAILLOUX / Tavini Huiraatira no te Ao Maohi,,42.19,,,,True,False,6.900000000000006,
562,987-03,False,43.17,Mereana REID ABERLOT / Régionaliste,,42.71,Pascale HAITI EPOUSE FLOSSE / Amuitahiraa o te nuna’a Maohi,,41.08,,,,True,False,1.6300000000000026,<2
563,988-01,False,58.58,Nicolas METZDORF / Générations NC,,39.81,Omayra Lisa Meun NAISSELINE / Indépendantistes et nationalistes,,36.34,,,,True,False,3.469999999999999,<5
564,988-02,False,61.14,Emmanuel TJIBAOU / Régionaliste,,44.06,Alcide PONGA / LR / Les Républicains,LR,36.18,,,,True,False,7.880000000000003,
565,977-01,False,28.67,Frantz GUMBS / Divers centre,,41.44,Alexandra QUESTEL / Divers droite,,19.92,,,,True,False,21.519999999999996,
566,099-01,False,35.63,Roland LESCURE / ENS / Renaissance,ENS,38.84,Oussama LARAICHI / NFP / Les Écologistes,NFP,36.12,,,,True,False,2.720000000000006,<5
567,099-02,False,23.86,Sergio CORONADO / NFP / Les Écologistes,NFP,36.16,Eléonore CAROIT / ENS / Renaissance,ENS,33.49,,,,True,False,2.6699999999999946,<5
568,099-03,False,43.24,Charlotte MINVIELLE / NFP / Les Écologistes,NFP,39.22,Vincent CAURE / ENS / Renaissance,ENS,39.13,,,,True,False,0.0899999999999963,<0.5
569,099-04,False,47.64,Cécilia GONDARD / NFP / Parti socialiste,NFP,37.45,Pieyre-Alexandre ANGLADE / ENS / Renaissance,ENS,35.46,,,,True,False,1.990000000000002,<2
570,099-05,False,37.83,Stéphane VOJETTA / Ensemble !,,33.68,Maxime DA SILVA / NFP / La France insoumise,NFP,26.18,,,,True,False,7.5,
571,099-06,False,39.94,Marc FERRACCI / ENS / Renaissance,ENS,40.54,Halima DELIMI / NFP / Parti socialiste,NFP,30.81,,,,True,False,9.73,
572,099-07,False,44.76,Frédéric PETIT / ENS / Modem,ENS,37.78,Asma RHARMAOUI-CLAQUIN / NFP / La France insoumise,NFP,32.58,,,,True,False,5.200000000000003,
573,099-08,False,22.2,Meyer HABIB / EXD / Les Républicains,EXD,35.58,Caroline YADAN / ENS / Renaissance,ENS,24.18,,,,True,False,11.399999999999999,
574,099-09,False,28.07,Karim BEN CHEÏKH / NFP / Génération.s,NFP,51.57,Samira DJOUADI / ENS / Renaissance,ENS,15.7,,,,True,False,35.870000000000005,
575,099-10,False,32.06,Elsa DI MEO / NFP / Parti socialiste,NFP,32.52,Amélia LAKRAFI / ENS / Renaissance,ENS,31.82,,,,True,False,0.7000000000000028,<1
576,099-11,False,40.81,Anne GENETET / ENS / Renaissance,ENS,39.94,Franck PAJOT / NFP / Parti socialiste,NFP,29.78,,,,True,False,10.159999999999997,
