,code_circo,estimation,participation,candidat_1,candidat_1_parti,candidat_1_score,candidat_2,candidat_2_parti,candidat_2_score,candidat_3,candidat_3_parti,candidat_3_score,second_tour,NFP_vs_RN,diff_vote,swing_circo
341,067-08,False,64.29,Théo BERNHARDT / EXD / Rassemblement national,EXD,44.16,Stéphanie KOCHERT / ENS / Horizons,ENS,23.51,,,,True,False,20.649999999999995,
342,067-09,False,65.92,Marc WOLFF / EXD / Rassemblement national,EXD,40.47,Vincent THIEBAUT / ENS / Horizons,ENS,29.24,,,,True,False,11.23,
343,068-01,False,63.57,Laurent GNAEDIG / EXD / Rassemblement national,EXD,34.24,Brigitte KLINKERT / ENS / Renaissance,ENS,30.4,,,,True,False,3.8400000000000034,<5
344,068-02,False,67.52,Nathalie AUBERT / EXD / Rassemblement national,EXD,36.17,Hubert OTT / ENS / Modem,ENS,32.46,,,,True,False,3.710000000000001,<5
345,068-03,False,65.64,Christian ZIMMERMANN / EXD / Rassemblement national,EXD,38.86,Didier LEMAIRE / ENS / Horizons,ENS,24.93,,,,True,False,13.93,
346,068-04,False,66.2,Marion WILHELM / EXD / Rassemblement national,EXD,41.87,Raphaël SCHELLENBERGER / LR / Du courage !,LR,29.15,,,,True,False,12.719999999999999,
347,068-05,False,64.28,Olivier BECHT / ENS / Renaissance,ENS,37.23,Pierre PINTO / EXD / Rassemblement national,EXD,29.56,Nadia EL HAJJAJI / NFP / Génération.s,NFP,26.8,True,False,7.669999999999998,
348,068-06,False,63.89,Christelle RITZ / EXD / Rassemblement national,EXD,39.74,Bruno FUCHS / ENS / Modem,ENS,30.19,Florence CLAUDEPIERRE / NFP / La France insoumise,NFP,22.08,True,False,9.55,
349,069-01,False,74.12,Anaïs BELOUASSA-CHERIFI / NFP / La France insoumise,NFP,42.4,Thomas RUDIGOZ / ENS / Renaissance,ENS,29.72,Laurent MOUTON / EXD / Rassemblement national,EXD,18.1,True,False,12.68,
350,069-02,False,77.94,Boris TAVERNIER / NFP / Les Écologistes,NFP,49.65,Loïc TERRENES / ENS / Renaissance,ENS,25.12,,,,True,False,24.529999999999998,
351,069-03,False,76.87,Marie-Charlotte GARIN / NFP / Les Écologistes,NFP,51.51,,,,,,,False,False,,
352,069-04,False,77.42,Sandrine RUNEL / NFP / Parti socialiste,NFP,38.0,Anne BRUGNERA / ENS / Renaissance,ENS,31.03,Yannick CHAUMONT / EXD / Rassemblement national,EXD,17.91,True,False,6.969999999999999,
353,069-05,False,75.3,Blandine BROCARD / ENS / Modem,ENS,32.01,Fabrice MATTEUCCI / NFP / Parti socialiste,NFP,26.48,Sasha BITOUM / EXD / Rassemblement national,EXD,25.38,True,False,5.529999999999998,
354,069-06,False,65.18,Gabriel AMARD / NFP / La France insoumise,NFP,46.29,Jean-Paul BRET / Parti socialiste,,19.94,,,,True,False,26.349999999999998,
